id,genre,num_games,votes
2,Indie,1621,203
1,Action,1415,258
8,Adventure,939,168
3,Strategy,602,99
7,RPG,555,122
9,Casual,535,36
10,Simulation,350,148
4,Early Access,280,19
5,Free to Play,114,4
11,Racing,103,20
12,Sports,86,6
6,Massively Multiplayer,83,25
27,Shooter,37,40
24,Puzzle,21,15
25,Platformer,20,23
17,Design & Illustration,11,0
14,Utilities,10,0
18,Web Publishing,7,0
21,Animation & Modeling,6,0
32,Hidden Objects,5,0
16,Education,4,1
28,Horror,4,4
15,Video Production,3,0
31,Fighting,3,1
26,Survival,3,
13,Audio Production,2,0
29,Sandbox,2,0
20,Software Training,1,0
33,Accounting,1,0
30,Music,1,
19,Photo Editing,1,
