Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
668,We the Living,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0451187849""","=""9780451187840""",0,3.91,Signet,Paperback,464,1996,1936,,2019/06/22,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
757159,Bridget Riley,Paul Moorhouse,"Moorhouse, Paul",,"=""1854374923""","=""9781854374929""",0,4.56,Tate,Hardcover,244,2003,2003,,2019/06/22,to-read,to-read (#294),to-read,,,,0,,,0,,,,,
1175630,Bridget Riley,Lynne Cooke,"Cooke, Lynne","Bridget Riley, Michael Govan","=""094452141X""","=""9780944521410""",0,3.75,Dia Art Foundation,Hardcover,,2001,2001,,2019/06/22,to-read,to-read (#293),to-read,,,,0,,,0,,,,,
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.10,Crown,Hardcover,342,2016,2016,,2019/06/18,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
44788850,Strategi på kanten,Anders Drejer,"Drejer, Anders",,"=""""","=""9788757444780""",2,2.00,Djøf Forlag,Paperback,238,2019,,2019/06/22,2019/06/15,,,read,,,,1,,,0,,,,,
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",0,4.35,Crown Publishing Group (NY),Hardcover,336,2019,2019,,2019/06/18,to-read,to-read (#292),to-read,,,,0,,,0,,,,,
530415,The Art of Doing Science and Engineering: Learning to Learn,Richard Hamming,"Hamming, Richard",,"=""9056995014""","=""9789056995010""",0,4.27,CRC Press,Paperback,376,1997,1996,,2019/06/17,to-read,to-read (#291),to-read,,,,0,,,0,,,,,
46287788,Retrograde (2 Book Series),Peter Cawdron,"Cawdron, Peter",,"=""""","=""""",0,5.00,,Kindle Edition,,,,,2019/06/16,to-read,to-read (#290),to-read,,,,0,,,0,,,,,
466371,The Color of Distance,Amy Thomson,"Thomson, Amy",,"=""0441006329""","=""9780441006328""",0,4.26,Ace,Mass Market Paperback,480,1999,1995,,2019/06/16,to-read,to-read (#289),to-read,,,,0,,,0,,,,,
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,3.99,William Morrow,Kindle Edition,880,2015,2015,,2019/06/16,to-read,to-read (#288),to-read,,,,0,,,0,,,,,
36205013,Inventing Ourselves: The Secret Life of the Teenage Brain,Sarah-Jayne Blakemore,"Blakemore, Sarah-Jayne",,"=""1610397312""","=""9781610397315""",0,3.74,PublicAffairs,Hardcover,256,2018,2016,,2019/06/16,to-read,to-read (#287),to-read,,,,0,,,0,,,,,
35018907,"Semiosis (Semiosis Duology, #1)",Sue Burke,"Burke, Sue",,"=""076539135X""","=""9780765391353""",0,3.94,Tor Books,Hardcover,336,2018,2018,2019/06/13,2019/05/29,,,read,,,,1,,,0,,,,,
95887,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,"Tracy, Brian",,"=""1576754227""","=""9781576754221""",3,3.87,Berrett-Koehler Publishers,Paperback,128,2007,2001,2019/06/03,2019/06/03,,,read,,,,1,,,0,,,,,
44245196,The Great Mental Models: General Thinking Concepts,Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""""","=""""",3,4.08,Latticework Publishing Inc.,Kindle Edition,216,2019,,2019/06/03,2019/03/26,,,read,,,,1,,,0,,,,,
11249894,Fragile Things,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,4.01,Review,Kindle Edition,452,2012,2006,2019/05/30,2018/08/03,,,read,,,,1,,,0,,,,,
558070,Fractals Everywhere,Michael F. Barnsley,"Barnsley, Michael F.",,"=""0120790696""","=""9780120790692""",0,4.03,Morgan Kaufmann Publishers,Paperback,534,2000,1988,,2019/03/14,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
32955594,Things Are What You Make of Them: Life Advice for Creatives,Adam J. Kurtz,"Kurtz, Adam J.",Grace Bonny,"=""0143131516""","=""9780143131519""",0,4.01,Tarcherperigee,Paperback,144,2017,2017,,2019/05/21,to-read,to-read (#286),to-read,,,,0,,,0,,,,,
44432844,"Ruined by Design: How Designers Destroyed the World, and What We Can Do to Fix It",Mike Monteiro,"Monteiro, Mike",,"=""""","=""""",0,4.20,,Kindle Edition,251,2019,,,2019/05/21,to-read,to-read (#285),to-read,,,,0,,,0,,,,,
353884,Strange Attractors: Creating Patterns in Chaos,Julien Clinton Sprott,"Sprott, Julien Clinton",,"=""1558512985""","=""9781558512986""",0,3.50,M&T Books,Paperback,426,1993,1993,,2019/05/17,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
5671305,Algorithms for Visual Design Using the Processing Language,Kostas Terzidis,"Terzidis, Kostas",,"=""0470375485""","=""9780470375488""",3,3.60,Wiley,Hardcover,354,2009,2009,2019/05/17,2019/05/09,,,read,"I'm looking for a book that presents different algorithmic approaches to creating visual designs. The overarching concept seems to go under many names: algorithmic art, generative art, procedural art or create coding. <br/><br/>The title of this book fits the bill pretty well. However, this book is much more introductory that what I was looking for. Chapter 7 contains some ""advanced"" methods and is the only chapter that gets close to what I was looking for.   Nevertheless, I like the style of the book and I think it is well written.",,,1,,,0,,,,,
1536896,Aesthetic Computing,Paul A. Fishwick,"Fishwick, Paul A.",,"=""026206250X""","=""9780262062503""",0,2.80,MIT Press (MA),Hardcover,,2006,2006,,2019/05/17,to-read,to-read (#284),to-read,,,,0,,,0,,,,,
