frequency,dielectric_loss
1,1.3152e-10
1.1548,1.4791e-10
1.3335,1.6577e-10
1.5399,1.8499e-10
1.7783,2.051e-10
2.0535,2.2561e-10
2.3714,2.4563e-10
2.7384,2.6418e-10
3.1623,2.8005e-10
3.6517,2.9188e-10
4.217,2.9866e-10
4.8697,2.9975e-10
5.6234,2.9513e-10
6.4938,2.8531e-10
7.4989,2.712e-10
8.6596,2.5401e-10
10,2.3451e-10
11.548,2.1396e-10
13.335,1.9365e-10
15.399,1.7412e-10
17.783,1.5574e-10
20.535,1.3872e-10
23.714,1.2314e-10
27.384,1.0896e-10
31.623,9.6167e-11
36.517,8.4698e-11
42.17,7.4523e-11
48.697,6.5475e-11
56.234,5.7497e-11
64.938,5.0524e-11
74.989,4.4451e-11
86.596,3.9171e-11
100,3.4561e-11
112.2,3.1442e-11
125.9,2.859e-11
141.3,2.6144e-11
158.5,2.3974e-11
177.8,2.2064e-11
199.5,2.0362e-11
223.9,1.892e-11
251.2,1.7643e-11
281.8,1.6508e-11
316.2,1.5514e-11
354.8,1.464e-11
398.1,1.3869e-11
446.7,1.318e-11
501.2,1.256e-11
562.3,1.1995e-11
631,1.1478e-11
707.9,1.1e-11
794.3,1.0551e-11
891.3,1.0132e-11
1000,9.7726e-12
1122,9.389e-12
1259,9.0228e-12
1413,8.6709e-12
1585,8.3356e-12
1778,8.0137e-12
1995,7.703e-12
2239,7.4042e-12
2512,7.118e-12
2818,6.8438e-12
3162,6.5803e-12
3548,6.327e-12
3981,6.086e-12
4467,5.8555e-12
5012,5.6374e-12
5623,5.4276e-12
6310,5.2286e-12
7079,5.0419e-12
7943,4.8652e-12
8913,4.6991e-12
10000,4.5409e-12
11220,4.3947e-12
12590,4.2555e-12
14130,4.1238e-12
15850,4.0014e-12
17780,3.8876e-12
19950,3.7815e-12
22390,3.6817e-12
25120,3.5887e-12
28180,3.5019e-12
31620,3.4216e-12
35480,3.3483e-12
39810,3.2781e-12
44670,3.212e-12
50120,3.1497e-12
56230,3.0912e-12
63100,3.0353e-12
70790,2.9819e-12
79430,2.9308e-12
89130,2.8811e-12
1e+05,2.8329e-12
1.122e+05,2.7852e-12
1.259e+05,2.7393e-12
1.413e+05,2.6937e-12
1.585e+05,2.6487e-12
1.778e+05,2.6037e-12
1.995e+05,2.5582e-12
2.239e+05,2.5133e-12
2.512e+05,2.4682e-12
2.818e+05,2.4222e-12
3.162e+05,2.3759e-12
3.548e+05,2.334e-12
3.981e+05,2.2873e-12
4.467e+05,2.2391e-12
5.012e+05,2.1905e-12
5.623e+05,2.1416e-12
6.31e+05,2.092e-12
7.079e+05,2.0422e-12
7.943e+05,1.9901e-12
8.913e+05,1.9381e-12
1e+06,1.8852e-12
