ID,Genre,Num_Games
2,Indie,1396
1,Action,1203
8,Adventure,807
3,Strategy,516
7,RPG,455
9,Casual,447
10,Simulation,307
4,Early Access,247
5,Free to Play,92
11,Racing,81
12,Sports,78
6,Massively Multiplayer,61
27,Shooter,26
25,Platformer,11
24,Puzzle,10
17,Design & Illustration,10
14,Utilities,7
18,Web Publishing,7
21,Animation & Modeling,6
16,Education,3
31,Fighting,3
15,Video Production,3
32,Hidden Objects,3
13,Audio Production,1
28,Horror,1
20,Software Training,1
29,Sandbox,1
30,Music,1
19,Photo Editing,1
26,Survival,1
