Fund Holdings as of,"29/Jan/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"TSLA","TESLA INC","Equity","5.68","793.53","32,617","25,882,568","25,882,568.01","Consumer Discretionary","US88160R1014","NASDAQ","United States","USD"
"1211","BYD LTD H","Equity","4.60","30.62","684,500","20,957,370","20,957,369.56","Consumer Discretionary","CNE100000296","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"000270","KIA MOTORS CORP","Equity","3.45","73.75","213,151","15,720,506","15,720,505.54","Consumer Discretionary","KR7000270009","Korea Exchange (Stock Market)","Korea (South)","KRW"
"006400","SAMSUNG SDI LTD","Equity","2.83","656.18","19,668","12,905,696","12,905,696.41","Information Technology","KR7006400006","Korea Exchange (Stock Market)","Korea (South)","KRW"
"GM","GENERAL MOTORS","Equity","2.67","50.68","240,105","12,168,521","12,168,521.40","Consumer Discretionary","US37045V1008","New York Stock Exchange Inc.","United States","USD"
"005380","HYUNDAI MOTOR","Equity","2.56","204.72","56,961","11,661,067","11,661,066.51","Consumer Discretionary","KR7005380001","Korea Exchange (Stock Market)","Korea (South)","KRW"
"APTV","APTIV PLC","Equity","2.56","133.60","87,198","11,649,653","11,649,652.80","Consumer Discretionary","JE00B783TY65","New York Stock Exchange Inc.","United States","USD"
"IFX","INFINEON TECHNOLOGIES AG","Equity","2.50","40.24","283,142","11,394,643","11,394,642.77","Information Technology","DE0006231004","Xetra","Germany","EUR"
"F","FORD MOTOR CO","Equity","2.40","10.53","1,037,646","10,926,412","10,926,412.38","Consumer Discretionary","US3453708600","New York Stock Exchange Inc.","United States","USD"
"STLA","STELLANTIS NV","Equity","2.31","15.22","691,114","10,520,619","10,520,619.01","Consumer Discretionary","NL00150001Q9","Borsa Italiana","Italy","EUR"
"012330","HYUNDAI MOBIS LTD","Equity","2.30","283.84","36,900","10,473,583","10,473,583.05","Consumer Discretionary","KR7012330007","Korea Exchange (Stock Market)","Korea (South)","KRW"
"QRVO","QORVO INC","Equity","2.22","170.88","59,270","10,128,058","10,128,057.60","Information Technology","US74736K1016","NASDAQ","United States","USD"
"HEXA B","HEXAGON B","Equity","2.20","87.87","113,895","10,007,879","10,007,879.43","Information Technology","SE0000103699","Nasdaq Omx Nordic","Sweden","SEK"
"MRVL","MARVELL TECHNOLOGY GROUP LTD","Equity","2.16","51.46","191,019","9,829,838","9,829,837.74","Information Technology","BMG5876H1051","NASDAQ","United States","USD"
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Equity","2.15","87.71","111,466","9,776,683","9,776,682.86","Information Technology","US57772K1016","NASDAQ","United States","USD"
"VOLV B","VOLVO CLASS B","Equity","2.09","24.82","382,764","9,501,845","9,501,845.04","Industrials","SE0000115446","Nasdaq Omx Nordic","Sweden","SEK"
"NVDA","NVIDIA CORP","Equity","2.06","519.59","18,075","9,391,589","9,391,589.25","Information Technology","US67066G1040","NASDAQ","United States","USD"
"6902","DENSO CORP","Equity","2.05","55.47","168,100","9,323,814","9,323,813.94","Consumer Discretionary","JP3551500006","Tokyo Stock Exchange","Japan","JPY"
"XLNX","XILINX INC","Equity","2.02","130.57","70,614","9,220,070","9,220,069.98","Information Technology","US9839191015","NASDAQ","United States","USD"
"ABBN","ABB LTD","Equity","1.95","29.61","300,842","8,907,575","8,907,574.51","Industrials","CH0012221716","SIX Swiss Exchange","Switzerland","CHF"
"M&M","MAHINDRA AND MAHINDRA LTD","Equity","1.94","10.27","861,357","8,849,688","8,849,687.60","Consumer Discretionary","INE101A01026","National Stock Exchange Of India","India","INR"
"RNO","RENAULT SA","Equity","1.93","42.81","205,903","8,815,341","8,815,340.79","Consumer Discretionary","FR0000131906","Nyse Euronext - Euronext Paris","France","EUR"
"ETN","EATON PLC","Equity","1.93","117.70","74,773","8,800,782","8,800,782.10","Industrials","IE00B8KQN827","New York Stock Exchange Inc.","United States","USD"
"MARUTI","MARUTI SUZUKI INDIA LTD","Equity","1.92","98.78","88,552","8,746,755","8,746,755.36","Consumer Discretionary","INE585B01010","National Stock Exchange Of India","India","INR"
