epsilon,C
0.0316227766,99.8888888889
0.0428133240,181.4444444444
0.0579639395,407.2222222222
0.0784759970,838.6666666667
0.1062467831,1707.6666666667
0.1438449888,3388.1111111111
0.1947483040,6971.5555555556
0.2636650899,12850.1111111111
0.3569698847,23351.2222222222
0.4832930239,42565.4444444444
0.6543189130,77934.4444444444
0.8858667904,143935.1111111111
1.1993539462,268228.7777777778
1.6237767392,500937.8888888889
2.1983926489,925610.7777777778
2.9763514416,1709194.4444444443
4.0296113202,3127649.6666666665
5.4555947812,5632453.0000000000
7.3861998221,9836191.3333333321
10.0000000000,16446009.0000000000
