country,value,book
Afghanistan,0,A Thousand Rooms of Dream and Fear by Atiq Rahimi
Albania,0,The Palace of Dreams by Ismail Kadare
Algeria,0,So Vast the Prison by Assia Djebar
Denmark,1,Kaptajn Dinesen: Til døden os skiller by Tom Buk-Swient
France,1,Capital and Ideology by Thomas Piketty
Germany,1,The Idea of Socialism by Axel Honneth
Thailand,1,Dragon's Fin Soup by S.P. Somtow
Myanmar,1,The Face of Resistance by Aung Zaw
Austria,1,Man's Search for Meaning by Viktor E. Frankl 
Hungary,0,On the Balcony by Iván Mándy
Romania,0,The Passport by Herta Müller 
Serbia,0,Lake Como  by Srdjan Valjarevic 
Mexico,0,Faces in the Crowd by Valeria Luiselli
Sweden,1,Factfullness by Hans Rosling
Norway,1,Doppler by Erlend Loe 
Spain,0,Exiled from Almost Everywhere by Juan Goytisolo
Ireland,0,The Secret Scripture by Sebastian Barry
Netherlands,0,Craving by Esther Gerritsen
Seychelles,0,Voices by Glynn Burridge
Iceland,0,The Atom Station by Halldór Laxness
Morocco,0,The Sand Child by Tahar Ben Jelloun
United Kingdom,1,Monstrous Regiment by Terry Pratchett
Czech Rep.,1,The Metamorphosis by Franz Kafka
United States,1,American Gods by Neil Gaiman 
Japan,1,The Cake Tree in the Ruins by Akiyuki Nosaka
Australia,1,The Book Thief by Markus Zusak,
New Zealand,0,Singularity by Charlotte Grimshaw,
China,1,Wild Swans by Jung Chang
Vietman,1,Peace Is Every Breath by Thich Nhat Hanh
Poland,1,Drive Your Plow Over the Bones of the Dead by Olga Tokarczuk
Isreal,1,21 Lessons for the 21st Century by Yuval Noah Harari
Scotland,1,The Square and the Tower by Niall Ferguson 
Canada,1,Enlightenment Now by Steven Pinker,
Hungary,1,How to Solve It by George Pólya
