country,value,book
Afghanistan,1,A Thousand Rooms of Dream and Fear by Atiq Rahimi
Denmark,1,Kaptajn Dinesen: Til døden os skiller by Tom Buk-Swient
France,1,Capital and Ideology by Thomas Piketty
Germany,1,The Idea of Socialism by Axel Honneth
Thailand,1,Dragon's Fin Soup by S.P. Somtow
Myanmar,1,The Face of Resistance by Aung Zaw
Austria,1,Man's Search for Meaning by Viktor E. Frankl 
Sweden,1,Factfullness by Hans Rosling
Norway,1,Doppler by Erlend Loe 
United Kingdom,1,Monstrous Regiment by Terry Pratchett
Czech Rep.,1,The Metamorphosis by Franz Kafka
United States,1,American Gods by Neil Gaiman 
Japan,1,The Cake Tree in the Ruins by Akiyuki Nosaka
Australia,1,The Book Thief by Markus Zusak,
China,1,Wild Swans by Jung Chang
Vietnam,1,Peace Is Every Breath by Thich Nhat Hanh
Poland,1,Drive Your Plow Over the Bones of the Dead by Olga Tokarczuk
Isreal,1,21 Lessons for the 21st Century by Yuval Noah Harari
Scotland,1,The Square and the Tower by Niall Ferguson 
Canada,1,Enlightenment Now by Steven Pinker
Hungary,1,How to Solve It by George Pólya
