country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Netherlands,7,6,10,11,16,17,20,20,17,14,9,7
Greece,12,12,14,18,22,26,28,28,25,21,17,13
United States,12,14,19,23,27,30,31,32,28,23,18,13
New Zealand,23,24,22,20,17,15,14,15,16,18,19,21
Thailand,33,33,34,35,34,34,33,33,33,33,33,33
Spain,14,15,17,18,22,25,28,29,26,22,17,14
China,2,6,13,21,27,31,32,31,26,20,10,4
Germany,3,3,8,13,19,21,24,24,19,14,7,4
Italy,11,13,16,19,25,29,32,32,27,21,15,11
Brazil,31,31,31,31,30,30,30,32,33,33,31,30
Australia,29,29,28,26,24,21,21,22,24,26,27,28
Belgium,6,7,11,14,19,21,23,23,19,15,9,6
Hungary,3,6,11,17,23,26,28,28,22,16,9,3
Argentina,29,28,26,22,19,16,15,17,19,22,25,28
Canada,-1,2,5,13,17,21,25,24,20,13,5,1
South Africa,28,29,27,25,22,19,19,19,21,23,25,27
Denmark,4,4,7,12,17,20,23,22,17,12,8,5
United Arab Emirates,24,25,28,33,38,40,41,41,39,36,31,26
Ireland,7,8,9,11,15,17,19,18,16,13,9,7
Vietnam,20,21,23,28,32,34,33,33,32,30,26,23
Hong Kong,18,19,21,25,29,31,32,32,31,28,25,21
Hawaii,27,27,28,28,29,31,31,31,31,30,29,28
Turkey,9,11,14,19,24,29,31,32,27,22,16,11
Indonesia,31,31,32,32,33,32,32,32,33,33,32,32
Israel,12,13,16,22,26,28,30,30,28,26,20,15
India,23,27,29,30,30,29,28,28,29,29,27,24
Malaysia,33,33,34,33,33,33,33,33,33,32,32,32
Portugal,14,14,15,16,17,18,19,20,20,18,16,15
United Kingdom,9,10,12,15,18,21,23,23,20,16,12,9
France,12,13,17,19,24,28,30,30,26,21,15,12
Mexico,22,24,26,27,27,25,24,24,23,23,22,22
Russia,-4,-4,3,11,17,22,24,22,15,8,0,-3
Japan,10,11,14,20,24,27,31,33,29,23,18,13
Norway,0,2,5,10,16,20,22,22,16,10,4,1
Czech Republic,3,5,9,14,20,23,25,25,19,14,6,3
Iceland,4,3,4,6,10,13,14,14,11,8,5,4
Chile,31,30,28,24,20,17,16,18,20,24,27,29
South Korea,2,5,11,18,23,27,29,30,26,20,12,5
Singapore,30,32,32,32,32,32,31,31,32,32,31,30
Bulgaria,4,7,12,17,21,25,28,28,23,18,10,4
Sweden,1,1,5,10,16,20,22,21,16,10,4,1
Morocco,22,24,26,25,26,28,30,30,29,28,25,22
Austria,3,6,10,16,21,24,26,26,21,15,8,3
Poland,2,3,7,14,20,22,25,24,18,13,6,2
Switzerland,4,6,11,15,20,23,25,25,20,15,8,4
