Ticker,Name,Weight,Sector,Country
ALB,ALBEMARLE CORP,11.259,Unknown,Unknown
002460,GANFENG LITHIUM CO LTD-A,7.154,Unknown,Unknown
300014,EVE ENERGY CO LTD-A,6.146,Unknown,Unknown
1211,BYD CO LTD-H,5.939,Unknown,Unknown
006400,SAMSUNG SDI CO LTD,5.623,Unknown,Unknown
300750,CONTEMPORARY A-A,5.484,Unknown,Unknown
TSLA,TESLA INC,5.396,Unknown,Unknown
6752,PANASONIC CORP,4.937,Unknown,Unknown
051910,LG CHEM LTD,4.524,Unknown,Unknown
SQM,QUIMICA Y-SP ADR,4.367,Unknown,Unknown
300450,WUXI LEAD INTE-A,4.36,Unknown,Unknown
002812,YUNNAN ENERGY-A,3.928,Unknown,Unknown
002371,NAURA TECH GR -A,3.529,Unknown,Unknown
300207,SUNWODA ELECTR-A,2.823,Unknown,Unknown
MIN,MINERAL RESOURCES LTD,2.593,Unknown,Unknown
ENS,ENERSYS,2.487,Unknown,Unknown
LTHM,LIVENT CORP,2.095,Unknown,Unknown
VAR1,VARTA AG,2.027,Unknown,Unknown
300037,SHENZHEN CAPCH-A,1.686,Unknown,Unknown
300073,BEIJING EASPRI-A,1.679,Unknown,Unknown
6674,GS YUASA CORP,1.562,Unknown,Unknown
603659,SHANGHAI PUTA-A,1.182,Unknown,Unknown
6121,SIMPLO TECHNOLOGY CO LTD,1.173,Unknown,Unknown
819,TIANNENG POWER INTL LTD,0.838,Unknown,Unknown
PLS,PILBARA MINERALS LTD,0.818,Unknown,Unknown
066970,L&F CO LTD,0.815,Unknown,Unknown
020150,ILJIN MATERIALS CO LTD,0.795,Unknown,Unknown
ORE,OROCOBRE LTD,0.708,Unknown,Unknown
AMG,AMG ADVANCED MET,0.684,Unknown,Unknown
300457,SHENZHEN YINGH-A,0.664,Unknown,Unknown
LAC,LITHIUM AMERICAS CORP,0.6,Unknown,Unknown
GXY,GALAXY RESOURCES LTD,0.499,Unknown,Unknown
INR,IONEER LTD,0.312,Unknown,Unknown
3211,DYNAPACK,0.257,Unknown,Unknown
ASL,AKASOL AG,0.203,Unknown,Unknown
6619,W-SCOPE CORP,0.196,Unknown,Unknown
8137,HONBRIDGE HOLDINGS LTD,0.153,Unknown,Unknown
047310,POWER LOGICS CO LTD,0.133,Unknown,Unknown
082920,VITZROCELL CO LTD,0.117,Unknown,Unknown
NMX,NEMASKA LITHIUM INC,0.0,Unknown,Unknown
