Ticker,Name,Sector,Weight,Country
"PLUG","PLUG POWER INC","Industrials","10.89",DK
"ENPH","ENPHASE ENERGY INC","Information Technology","5.35",DK
"VER","VERBUND AG","Utilities","4.82",DK
"MEL","MERIDIAN ENERGY LTD","Utilities","4.65",DK
"SGRE","SIEMENS GAMESA RENEWABLE ENERGY SA","Industrials","4.42",DK
"ORA","ORMAT TECH INC","Utilities","4.34",DK
"DQ","DAQO NEW ENERGY ADR REPRESENTING","Information Technology","4.08",DK
"968","XINYI SOLAR HOLDINGS LTD","Information Technology","4.04",DK
"FSLR","FIRST SOLAR INC","Information Technology","3.99",DK
"VWS","VESTAS WIND SYSTEMS","Industrials","3.97",DK
"ORSTED","ORSTED","Utilities","3.88",DK
"EDPR","EDP RENOVAVEIS SA","Utilities","3.87",DK
"CEN","CONTACT ENERGY LTD","Utilities","3.84",DK
"SCATC","SCATEC SOLAR","Utilities","3.52",DK
"BLX","BORALEX INC CLASS A","Utilities","3.13",DK
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","3.00",DK
"RUN","SUNRUN INC","Industrials","2.84",DK
"INE","INNERGEX RENEWABLE ENERGY INC","Utilities","2.63",DK
"ECV","ENCAVIS AG","Utilities","2.40",DK
"CSIQ","CANADIAN SOLAR INC","Information Technology","2.39",DK
"NEOEN","NEOEN SA","Utilities","2.33",DK
"AY","ATLANTICA SUSTAINABLE INFRASTRUCTU","Utilities","2.28",DK
"CIG","COMPANHIA ENERGETICA MINAS GERAIS","Utilities","2.28",DK
"NOVA","SUNNOVA ENERGY INTERNATIONAL INC","Utilities","2.04",DK
"336260","DOOSAN FUEL CELL LTD","Industrials","1.87",DK
"PCELL","POWERCELL SWEDEN","Industrials","1.87",DK
"REGI","RENEWABLE ENERGY INC","Energy","1.74",DK
"SLR","SOLARIA ENERGIA Y MEDIO AMBIENTE S","Utilities","1.73",DK
"ELP","COMPANHIA PARANAENSE DE ENERGIA AD","Utilities","1.22",DK
"ENLT","ENLIGHT RENEWABLE ENERGY LTD","Utilities","0.35",DK
