Ticker,Name,Weight,Sector,Country
PLD,Prologis Inc,7.05,Unknown,Unknown
PSA,Public Storage,3.51,Unknown,Unknown
DLR,Digital Realty Trust Inc,3.43,Unknown,Unknown
SPG,Simon Property Group Inc,3.31,Unknown,Unknown
VNA,Vonovia Se,3.22,Unknown,Unknown
WELL,Welltower Inc,2.78,Unknown,Unknown
AVB,Avalonbay Communities Inc,2.40,Unknown,Unknown
8802,Mitsubishi Estate Co Ltd,2.38,Unknown,Unknown
8801,Mitsui Fudosan Co Ltd,2.18,Unknown,Unknown
EQR,Equity Residential,2.18,Unknown,Unknown
O,Realty Income Corp,2.02,Unknown,Unknown
823,Link Reit,1.88,Unknown,Unknown
1925,Daiwa House Industry Co Ltd,1.87,Unknown,Unknown
ARE,Alexandria Real Estate Equities Inc,1.82,Unknown,Unknown
VTR,Ventas Inc,1.82,Unknown,Unknown
8830,Sumitomo Realty & Development Co Ltd,1.64,Unknown,Unknown
ESS,Essex Property Trust Inc,1.61,Unknown,Unknown
INVH,Invitation Homes Inc,1.58,Unknown,Unknown
EXR,Extra Space Storage Inc,1.55,Unknown,Unknown
PEAK,Healthpeak Properties Inc,1.52,Unknown,Unknown
DWNI,Deutsche Wohnen Se,1.52,Unknown,Unknown
MAA,Mid-America Apartment Communities Inc,1.48,Unknown,Unknown
SUI,Sun Communities Inc,1.42,Unknown,Unknown
DRE,Duke Realty Corp,1.40,Unknown,Unknown
SGRO,Segro Plc,1.39,Unknown,Unknown
BXP,Boston Properties Inc,1.39,Unknown,Unknown
1997,Wharf Real Estate Investment Co Ltd,1.23,Unknown,Unknown
UDR,Udr Inc,1.18,Unknown,Unknown
WPC,Wp Carey Inc,1.14,Unknown,Unknown
MPW,Medical Properties Trust Inc,1.09,Unknown,Unknown
SCG,Scentre Group,1.04,Unknown,Unknown
ELS,Equity Lifestyle Properties Inc,1.03,Unknown,Unknown
URW,Unibail-Rodamco-Westfield,0.98,Unknown,Unknown
AT1,Aroundtown Sa,0.97,Unknown,Unknown
CPT,Camden Property Trust,0.94,Unknown,Unknown
LEG,Leg Immobilien Ag,0.87,Unknown,Unknown
8951,Nippon Building Fund Inc,0.86,Unknown,Unknown
GLPI,Gaming And Leisure Properties Inc,0.86,Unknown,Unknown
8952,Japan Real Estate Investment Corp,0.85,Unknown,Unknown
REG,Regency Centers Corp,0.83,Unknown,Unknown
OHI,Omega Healthcare Investors Inc,0.81,Unknown,Unknown
VER,Vereit Inc,0.80,Unknown,Unknown
DXS,Dexus,0.75,Unknown,Unknown
KIM,Kimco Realty Corp,0.74,Unknown,Unknown
SGP,Stockland,0.74,Unknown,Unknown
STOR,Store Capital Corp,0.73,Unknown,Unknown
CONE,Cyrusone Inc,0.73,Unknown,Unknown
NNN,National Retail Properties Inc,0.72,Unknown,Unknown
3462,Nomura Real Estate Master Fund Inc,0.70,Unknown,Unknown
CICT,Capitaland Integrated Commercial Trust,0.69,Unknown,Unknown
SPSN,Swiss Prime Site Ag,0.69,Unknown,Unknown
FRT,Federal Realty Investment Trust,0.67,Unknown,Unknown
LAND,Land Securities Group Plc,0.65,Unknown,Unknown
MGR,Mirvac Group,0.65,Unknown,Unknown
3283,Nippon Prologis Reit Inc,0.64,Unknown,Unknown
VNO,Vornado Realty Trust,0.63,Unknown,Unknown
AREIT,Ascendas Real Estate Investment Trust,0.63,Unknown,Unknown
CAR-U,Canadian Apartment Properties Reit,0.63,Unknown,Unknown
GFC,Gecina Sa,0.61,Unknown,Unknown
CAPL,Capitaland Ltd,0.58,Unknown,Unknown
12,Henderson Land Development Co Ltd,0.55,Unknown,Unknown
GPT,Gpt Group/The,0.55,Unknown,Unknown
3281,Glp J-Reit,0.54,Unknown,Unknown
BLND,British Land Co Plc/The,0.53,Unknown,Unknown
8984,Daiwa House Reit Investment Corp,0.52,Unknown,Unknown
8953,Japan Retail Fund Investment Corp,0.51,Unknown,Unknown
CAST,Castellum Ab,0.50,Unknown,Unknown
AIRC,Apartment Income Reit Corp,0.47,Unknown,Unknown
8954,Orix Jreit Inc,0.46,Unknown,Unknown
REI-U,Riocan Real Estate Investment Trust,0.46,Unknown,Unknown
SLG,Sl Green Realty Corp,0.45,Unknown,Unknown
BALDB,Fastighets Ab Balder,0.45,Unknown,Unknown
PSPN,Psp Swiss Property Ag,0.45,Unknown,Unknown
LI,Klepierre Sa,0.45,Unknown,Unknown
VCX,Vicinity Centres,0.43,Unknown,Unknown
8960,United Urban Investment Corp,0.42,Unknown,Unknown
DLN,Derwent London Plc,0.41,Unknown,Unknown
UTG,Unite Group Plc/The,0.39,Unknown,Unknown
COV,Covivio,0.39,Unknown,Unknown
BBOX,Tritax Big Box Reit Plc,0.39,Unknown,Unknown
FABG,Fabege Ab,0.36,Unknown,Unknown
MLT,Mapletree Logistics Trust,0.35,Unknown,Unknown
MRL,Merlin Properties Socimi Sa,0.33,Unknown,Unknown
MCT,Mapletree Commercial Trust,0.32,Unknown,Unknown
TEG,Tag Immobilien Ag,0.30,Unknown,Unknown
KOJAMO,Kojamo Oyj,0.28,Unknown,Unknown
