Ticker,Name,Weight,Sector,Country
TSLA,Tesla Inc,1.96,Unknown,Unknown
SHOP,Shopify Inc,0.87,Unknown,Unknown
IFX,Infineon Technologies Ag,0.77,Unknown,Unknown
ADYEN,Adyen Nv,0.74,Unknown,Unknown
9984,Softbank Group Corp,0.71,Unknown,Unknown
035420,Naver Corp,0.70,Unknown,Unknown
DE,Deere & Co,0.68,Unknown,Unknown
6594,Nidec Corp,0.66,Unknown,Unknown
1810,Xiaomi Corp,0.65,Unknown,Unknown
PYPL,Paypal Holdings Inc,0.64,Unknown,Unknown
CAP,Capgemini Se,0.63,Unknown,Unknown
AMAT,Applied Materials Inc,0.63,Unknown,Unknown
8035,Tokyo Electron Ltd,0.63,Unknown,Unknown
ASML,Asml Holding Nv,0.62,Unknown,Unknown
VWS,Vestas Wind Systems A/S,0.61,Unknown,Unknown
NVDA,Nvidia Corp,0.60,Unknown,Unknown
9983,Fast Retailing Co Ltd,0.59,Unknown,Unknown
MU,Micron Technology Inc,0.58,Unknown,Unknown
DSV,Dsv Panalpina A/S,0.58,Unknown,Unknown
MS,Morgan Stanley,0.57,Unknown,Unknown
AVGO,Broadcom Inc,0.57,Unknown,Unknown
SAND,Sandvik Ab,0.56,Unknown,Unknown
COF,Capital One Financial Corp,0.55,Unknown,Unknown
INGA,Ing Groep Nv,0.54,Unknown,Unknown
DPW,Deutsche Post Ag,0.54,Unknown,Unknown
PRU,Prudential Plc,0.54,Unknown,Unknown
388,Hong Kong Exchanges & Clearing Ltd,0.53,Unknown,Unknown
LOW,Lowe's Cos Inc,0.53,Unknown,Unknown
SIE,Siemens Ag,0.53,Unknown,Unknown
6902,Denso Corp,0.52,Unknown,Unknown
PRX,Prosus Nv,0.52,Unknown,Unknown
TMUS,T-Mobile Us Inc,0.52,Unknown,Unknown
6326,Kubota Corp,0.51,Unknown,Unknown
000660,Sk Hynix Inc,0.51,Unknown,Unknown
7974,Nintendo Co Ltd,0.51,Unknown,Unknown
6098,Recruit Holdings Co Ltd,0.51,Unknown,Unknown
FERG,Ferguson Plc,0.51,Unknown,Unknown
6981,Murata Manufacturing Co Ltd,0.51,Unknown,Unknown
DIS,Walt Disney Co/The,0.50,Unknown,Unknown
SLB,Schlumberger Nv,0.50,Unknown,Unknown
CRH,Crh Plc,0.50,Unknown,Unknown
005930,Samsung Electronics Co Ltd,0.50,Unknown,Unknown
COP,Conocophillips,0.50,Unknown,Unknown
6758,Sony Corp,0.50,Unknown,Unknown
6752,Panasonic Corp,0.50,Unknown,Unknown
ABBV,Abbvie Inc,0.50,Unknown,Unknown
TFC,Truist Financial Corp,0.49,Unknown,Unknown
ATCOA,Atlas Copco Ab,0.49,Unknown,Unknown
EQNR,Equinor Asa,0.49,Unknown,Unknown
AIG,American International Group Inc,0.49,Unknown,Unknown
QCOM,Qualcomm Inc,0.49,Unknown,Unknown
AMD,Advanced Micro Devices Inc,0.49,Unknown,Unknown
BMO,Bank Of Montreal,0.48,Unknown,Unknown
NAB,National Australia Bank Ltd,0.48,Unknown,Unknown
NKE,Nike Inc,0.48,Unknown,Unknown
ANZ,Australia & New Zealand Banking Group L,0.48,Unknown,Unknown
SPG,Simon Property Group Inc,0.48,Unknown,Unknown
AAPL,Apple Inc,0.47,Unknown,Unknown
SU,Schneider Electric Se,0.47,Unknown,Unknown
ADS,Adidas Ag,0.47,Unknown,Unknown
LONN,Lonza Group Ag,0.47,Unknown,Unknown
SCHW,Charles Schwab Corp/The,0.46,Unknown,Unknown
BBVA,Banco Bilbao Vizcaya Argentaria Sa,0.46,Unknown,Unknown
MQG,Macquarie Group Ltd,0.46,Unknown,Unknown
LSEG,London Stock Exchange Group Plc,0.46,Unknown,Unknown
EMR,Emerson Electric Co,0.45,Unknown,Unknown
NOW,Servicenow Inc,0.45,Unknown,Unknown
ABBN,Abb Ltd,0.45,Unknown,Unknown
