Ticker,Name,Weight,Sector,Country
700,Tencent Holdings Ltd,8.60,Unknown,Unknown
NVDA,Nvidia Corp,7.78,Unknown,Unknown
SE,Sea Ltd,7.18,Unknown,Unknown
BILI,Bilibili Inc,7.08,Unknown,Unknown
7974,Nintendo Co Ltd,6.10,Unknown,Unknown
NTES,Netease Inc,6.01,Unknown,Unknown
AMD,Advanced Micro Devices Inc,5.87,Unknown,Unknown
ATVI,Activision Blizzard Inc,5.71,Unknown,Unknown
3659,Nexon Co Ltd,4.67,Unknown,Unknown
EA,Electronic Arts Inc,4.24,Unknown,Unknown
036570,Ncsoft Corp,4.14,Unknown,Unknown
TTWO,Take-Two Interactive Software Inc,4.05,Unknown,Unknown
ZNGA,Zynga Inc,4.03,Unknown,Unknown
7832,Bandai Namco Holdings Inc,3.69,Unknown,Unknown
U,Unity Software Inc,2.91,Unknown,Unknown
UBI,Ubisoft Entertainment Sa,2.31,Unknown,Unknown
9766,Konami Holdings Corp,2.25,Unknown,Unknown
CDR,Cd Projekt Sa,2.01,Unknown,Unknown
EMBRACB,Embracer Group Ab,2.01,Unknown,Unknown
3888,Kingsoft Corp Ltd,1.96,Unknown,Unknown
2377,Micro-Star International Co Ltd,1.88,Unknown,Unknown
9697,Capcom Co Ltd,1.73,Unknown,Unknown
9684,Square Enix Holdings Co Ltd,1.49,Unknown,Unknown
251270,Netmarble Corp,1.19,Unknown,Unknown
SF,Stillfront Group Ab,1.07,Unknown,Unknown
