Fund Holdings as of,"24/Feb/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"SNAP","SNAP INC CLASS A","Equity","4.59","69.47","2,786,204.00","193,557,591.88","193,557,591.88","Communication","US83304A1060","New York Stock Exchange Inc.","United States","USD"
"6594","NIDEC CORP","Equity","2.67","130.69","862,932.00","112,779,473.64","112,779,473.64","Industrials","JP3734800000","Tokyo Stock Exchange","Japan","JPY"
"TER","TERADYNE INC","Equity","2.44","134.19","767,511.00","102,992,301.09","102,992,301.09","Information Technology","US8807701029","NASDAQ","United States","USD"
"KLAC","KLA CORP","Equity","2.37","328.43","304,108.00","99,878,190.44","99,878,190.44","Information Technology","US4824801009","NASDAQ","United States","USD"
"QCOM","QUALCOMM INC","Equity","2.19","141.10","653,610.00","92,224,371.00","92,224,371.00","Information Technology","US7475251036","NASDAQ","United States","USD"
"NVDA","NVIDIA CORP","Equity","2.14","579.96","156,078.00","90,518,996.88","90,518,996.88","Information Technology","US67066G1040","NASDAQ","United States","USD"
"AMD","ADVANCED MICRO DEVICES INC","Equity","2.14","86.94","1,039,498.00","90,373,956.12","90,373,956.12","Information Technology","US0079031078","NASDAQ","United States","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Equity","2.10","157.25","563,536.00","88,616,036.00","88,616,036.00","Information Technology","US5950171042","NASDAQ","United States","USD"
"HEXA B","HEXAGON B","Equity","2.04","87.33","986,824.00","86,179,902.32","86,179,902.32","Information Technology","SE0000103699","Nasdaq Omx Nordic","Sweden","SEK"
"6201","TOYOTA INDUSTRIES CORP","Equity","1.94","88.07","930,800.00","81,978,231.93","81,978,231.93","Consumer Discretionary","JP3634600005","Tokyo Stock Exchange","Japan","JPY"
"AAPL","APPLE INC","Equity","1.94","125.35","653,963.00","81,974,262.05","81,974,262.05","Information Technology","US0378331005","NASDAQ","United States","USD"
"XLNX","XILINX INC","Equity","1.94","133.81","611,952.00","81,885,297.12","81,885,297.12","Information Technology","US9839191015","NASDAQ","United States","USD"
"MRVL","MARVELL TECHNOLOGY GROUP LTD","Equity","1.92","49.26","1,648,155.00","81,188,115.30","81,188,115.30","Information Technology","BMG5876H1051","NASDAQ","United States","USD"
"EMR","EMERSON ELECTRIC","Equity","1.91","88.97","908,318.00","80,813,052.46","80,813,052.46","Industrials","US2910111044","New York Stock Exchange Inc.","United States","USD"
"NOW","SERVICENOW INC","Equity","1.91","551.83","146,420.00","80,798,948.60","80,798,948.60","Information Technology","US81762P1021","New York Stock Exchange Inc.","United States","USD"
