Number,Holding,Ticker,Shares,Market Value,% of net assets
1,Tesla Inc,TSLA US,7672,€4281735.00,1.58%
2,Infineon Technologies Ag,IFX GR,54578,€1929332.00,0.71%
3,Daimler Ag,DAI GR,28454,€1875972.00,0.69%
4,Paypal Holdings Inc,PYPL US,9023,€1874428.00,0.69%
5,Softbank Group Corp,9984 JP,23442,€1870512.00,0.69%
6,Asml Holding Nv,ASML NA,3719,€1766339.00,0.65%
7,Nidec Corp,6594 JP,16100,€1748837.00,0.65%
8,Glencore Plc,GLEN LN,492460,€1736507.00,0.64%
9,Bhp Group Ltd,BHP AU,52260,€1716303.00,0.63%
10,Rio Tinto Plc,RIO LN,22783,€1706835.00,0.63%
11,Anglo American Plc,AAL LN,49456,€1688736.00,0.62%
12,Caterpillar Inc,CAT US,9298,€1687241.00,0.62%
13,Tokyo Electron Ltd,8035 JP,4700,€1653524.00,0.61%
14,Nvidia Corp,NVDA US,3793,€1651681.00,0.61%
15,Hong Kong Exchanges & Clearing Ltd,388 HK,30665,€1617590.00,0.60%
16,Morgan Stanley,MS US,25067,€1608316.00,0.59%
17,Fast Retailing Co Ltd,9983 JP,1900,€1602369.00,0.59%
18,Deutsche Post Ag,DPW GR,36375,€1503015.00,0.56%
19,Nintendo Co Ltd,7974 JP,2800,€1473522.00,0.54%
20,Prosus Nv,PRX NA,14773,€1467254.00,0.54%
21,Atlas Copco Ab,ATCOA SS,29849,€1454035.00,0.54%
22,Sk Hynix Inc,000660 KS,13259,€1453994.00,0.54%
23,Goldman Sachs Group Inc/The,GS US,5371,€1440117.00,0.53%
24,Sony Corp,6758 JP,16004,€1425471.00,0.53%
25,Telefonaktiebolaget Lm Ericsson,ERICB SS,135101,€1423954.00,0.53%
26,Siemens Ag,SIE GR,10913,€1420654.00,0.53%
27,Broadcom Inc,AVGO US,3766,€1408430.00,0.52%
28,Murata Manufacturing Co Ltd,6981 JP,18908,€1394319.00,0.52%
29,Qualcomm Inc,QCOM US,12551,€1391555.00,0.51%
30,Abbvie Inc,ABBV US,15844,€1391146.00,0.51%
31,Walt Disney Co/The,DIS US,8884,€1387980.00,0.51%
32,Lvmh Moet Hennessy Louis Vuitton Se,MC FP,2607,€1384317.00,0.51%
33,United Parcel Service Inc,UPS US,10668,€1374605.00,0.51%
34,Apple Inc,AAPL US,13880,€1373807.00,0.51%
35,Fanuc Corp,6954 JP,6389,€1366595.00,0.51%
36,Samsung Electronics Co Ltd,005930 KS,21638,€1362986.00,0.50%
37,Schneider Electric Se,SU FP,10789,€1347546.00,0.50%
38,Ubs Group Ag,UBSG SW,102024,€1337906.00,0.49%
39,Lonza Group Ag,LONN SW,2518,€1331296.00,0.49%
40,Amazon.Com Inc,AMZN US,523,€1307997.00,0.48%
41,Pnc Financial Services Group Inc/The,PNC US,9165,€1299025.00,0.48%
42,Raytheon Technologies Corp,RTX US,21641,€1298035.00,0.48%
43,Wesfarmers Ltd,WES AU,39286,€1289704.00,0.48%
44,Daikin Industries Ltd,6367 JP,7701,€1288260.00,0.48%
45,Panasonic Corp,6752 JP,115936,€1287897.00,0.48%
46,Basf Se,BAS GR,18888,€1287406.00,0.48%
47,Keyence Corp,6861 JP,3098,€1278091.00,0.47%
48,Credit Suisse Group Ag,CSGN SW,105326,€1273420.00,0.47%
49,Alphabet Inc,GOOGL US,772,€1273162.00,0.47%
50,Shin-Etsu Chemical Co Ltd,4063 JP,9091,€1268487.00,0.47%
51,Bnp Paribas Sa,BNP FP,25204,€1268013.00,0.47%
52,Recruit Holdings Co Ltd,6098 JP,29600,€1256706.00,0.46%
53,Australia & New Zealand Banking Group L,ANZ AU,71894,€1252865.00,0.46%
54,Ing Groep Nv,INGA NA,135190,€1247533.00,0.46%
55,Abb Ltd,ABBN SW,51369,€1244456.00,0.46%
56,Nike Inc,NKE US,11214,€1243411.00,0.46%
57,Bayerische Motoren Werke Ag,BMW GR,17342,€1239953.00,0.46%
58,Lowe's Cos Inc,LOW US,9519,€1234418.00,0.46%
59,Cie Financiere Richemont Sa,CFR SW,15402,€1234176.00,0.46%
60,Bank Of America Corp,BAC US,41938,€1232684.00,0.46%
61,Texas Instruments Inc,TXN US,8831,€1231962.00,0.46%
62,Danaher Corp,DHR US,6861,€1230647.00,0.46%
63,Blackrock Inc,BLK US,2157,€1226000.00,0.45%
64,Conocophillips,COP US,28211,€1223846.00,0.45%
65,Barclays Plc,BARC LN,650907,€1223165.00,0.45%
66,Netflix Inc,NFLX US,2719,€1216032.00,0.45%
67,London Stock Exchange Group Plc,LSEG LN,10809,€1213418.00,0.45%
