Number,Holding,Ticker,Shares,Market Value,% of net assets
1,Prologis Inc,PLD US,88609,€7349532.00,7.05%
2,Public Storage,PSA US,18401,€3663341.00,3.51%
3,Digital Realty Trust Inc,DLR US,32566,€3579757.00,3.43%
4,Simon Property Group Inc,SPG US,36781,€3454839.00,3.31%
5,Vonovia Se,VNA GR,63317,€3362133.00,3.22%
6,Welltower Inc,WELL US,50441,€2900028.00,2.78%
7,Avalonbay Communities Inc,AVB US,16981,€2504920.00,2.40%
8,Mitsubishi Estate Co Ltd,8802 JP,168456,€2486023.00,2.38%
9,Mitsui Fudosan Co Ltd,8801 JP,118566,€2275511.00,2.18%
10,Equity Residential,EQR US,41638,€2272991.00,2.18%
11,Realty Income Corp,O US,41723,€2102193.00,2.02%
12,Link Reit,823 HK,250447,€1961858.00,1.88%
13,Daiwa House Industry Co Ltd,1925 JP,80656,€1950920.00,1.87%
14,Alexandria Real Estate Equities Inc,ARE US,14274,€1897051.00,1.82%
15,Ventas Inc,VTR US,42901,€1894818.00,1.82%
16,Sumitomo Realty & Development Co Ltd,8830 JP,57685,€1711477.00,1.64%
17,Essex Property Trust Inc,ESS US,7843,€1674915.00,1.61%
18,Invitation Homes Inc,INVH US,67862,€1649362.00,1.58%
19,Extra Space Storage Inc,EXR US,15214,€1612132.00,1.55%
20,Healthpeak Properties Inc,PEAK US,65081,€1585498.00,1.52%
21,Deutsche Wohnen Se,DWNI GR,40540,€1583898.00,1.52%
22,Mid-America Apartment Communities Inc,MAA US,13660,€1541108.00,1.48%
23,Sun Communities Inc,SUI US,11650,€1482936.00,1.42%
24,Duke Realty Corp,DRE US,44755,€1465229.00,1.40%
25,Segro Plc,SGRO LN,135491,€1452098.00,1.39%
26,Boston Properties Inc,BXP US,17256,€1450046.00,1.39%
27,Wharf Real Estate Investment Co Ltd,1997 HK,253486,€1286336.00,1.23%
28,Udr Inc,UDR US,35366,€1226122.00,1.18%
29,Wp Carey Inc,WPC US,20825,€1191680.00,1.14%
30,Medical Properties Trust Inc,MPW US,63512,€1132659.00,1.09%
31,Scentre Group,SCG AU,567493,€1082409.00,1.04%
32,Equity Lifestyle Properties Inc,ELS US,20939,€1070246.00,1.03%
33,Unibail-Rodamco-Westfield,URW NA,16764,€1024951.00,0.98%
34,Aroundtown Sa,AT1 GR,165335,€1009866.00,0.97%
35,Camden Property Trust,CPT US,11408,€984202.00,0.94%
36,Leg Immobilien Ag,LEG GR,7975,€909150.00,0.87%
37,Nippon Building Fund Inc,8951 JP,171,€895162.00,0.86%
38,Gaming And Leisure Properties Inc,GLPI US,24724,€893575.00,0.86%
39,Japan Real Estate Investment Corp,8952 JP,168,€885924.00,0.85%
40,Regency Centers Corp,REG US,19085,€862603.00,0.83%
41,Omega Healthcare Investors Inc,OHI US,27306,€844154.00,0.81%
42,Vereit Inc,VER US,26051,€832848.00,0.80%
43,Dexus,DXS AU,132109,€777435.00,0.75%
44,Kimco Realty Corp,KIM US,50927,€775737.00,0.74%
45,Stockland,SGP AU,270344,€772582.00,0.74%
46,Store Capital Corp,STOR US,27465,€760770.00,0.73%
47,Cyrusone Inc,CONE US,14072,€760008.00,0.73%
48,National Retail Properties Inc,NNN US,20848,€755536.00,0.72%
49,Nomura Real Estate Master Fund Inc,3462 JP,571,€727496.00,0.70%
50,Capitaland Integrated Commercial Trust,CICT SP,548294,€719999.00,0.69%
51,Swiss Prime Site Ag,SPSN SW,9032,€716544.00,0.69%
52,Federal Realty Investment Trust,FRT US,8307,€699952.00,0.67%
53,Land Securities Group Plc,LAND LN,84561,€674567.00,0.65%
54,Mirvac Group,MGR AU,452097,€673954.00,0.65%
55,Nippon Prologis Reit Inc,3283 JP,255,€664501.00,0.64%
56,Vornado Realty Trust,VNO US,18921,€660780.00,0.63%
57,Ascendas Real Estate Investment Trust,AREIT SP,354529,€658803.00,0.63%
58,Canadian Apartment Properties Reit,CAR-U CN,20005,€658327.00,0.63%
59,Gecina Sa,GFC FP,5487,€637589.00,0.61%
60,Capitaland Ltd,CAPL SP,300599,€601413.00,0.58%
61,Henderson Land Development Co Ltd,12 HK,158264,€576045.00,0.55%
62,Gpt Group/The,GPT AU,202814,€569035.00,0.55%
63,Glp J-Reit,3281 JP,417,€567885.00,0.54%
64,British Land Co Plc/The,BLND LN,92547,€555952.00,0.53%
65,Daiwa House Reit Investment Corp,8984 JP,243,€540069.00,0.52%
66,Japan Retail Fund Investment Corp,8953 JP,630,€529614.00,0.51%
67,Castellum Ab,CAST SS,26733,€526499.00,0.50%
68,Apartment Income Reit Corp,AIRC US,14400,€486872.00,0.47%
69,Orix Jreit Inc,8954 JP,334,€484422.00,0.46%
70,Riocan Real Estate Investment Trust,REI-U CN,38295,€479308.00,0.46%
71,Sl Green Realty Corp,SLG US,8582,€473611.00,0.45%
72,Fastighets Ab Balder,BALDB SS,11867,€471323.00,0.45%
73,Psp Swiss Property Ag,PSPN SW,4625,€471215.00,0.45%
74,Klepierre Sa,LI FP,23669,€470185.00,0.45%
75,Vicinity Centres,VCX AU,421009,€453579.00,0.43%
76,United Urban Investment Corp,8960 JP,377,€435631.00,0.42%
77,Derwent London Plc,DLN LN,11167,€432501.00,0.41%
78,Unite Group Plc/The,UTG LN,35510,€408693.00,0.39%
79,Covivio,COV FP,5811,€407061.00,0.39%
80,Tritax Big Box Reit Plc,BBOX LN,191386,€405139.00,0.39%
81,Fabege Ab,FABG SS,31933,€373827.00,0.36%
82,Mapletree Logistics Trust,MLT SP,313127,€364637.00,0.35%
83,Merlin Properties Socimi Sa,MRL SM,39118,€342283.00,0.33%
84,Mapletree Commercial Trust,MCT SP,263300,€332708.00,0.32%
85,Tag Immobilien Ag,TEG GR,13277,€313337.00,0.30%
86,Kojamo Oyj,KOJAMO FH,18446,€295136.00,0.28%
87,Inmobiliaria Colonial Socimi Sa,COL SM,35784,€293966.00,0.28%
88,Alstria Office Reit-Ag,AOX GR,20387,€292961.00,0.28%
89,Japan Hotel Reit Investment Corp,8985 JP,540,€277278.00,0.27%
90,Samhallsbyggnadsbolaget I Norden Ab,SBBB SS,95770,€252376.00,0.24%
91,Invincible Investment Corp,8963 JP,738,€247424.00,0.24%
92,Growthpoint Properties Ltd,GRT SJ,299968,€226453.00,0.22%
93,Nepi Rockcastle Plc,NRP SJ,40206,€202003.00,0.19%
94,Great Portland Estates Plc,GPOR LN,24234,€190295.00,0.18%
95,Capital & Counties Properties Plc,CAPC LN,84808,€173939.00,0.17%
96,Macerich Co/The,MAC US,14027,€151355.00,0.15%
97,Hammerson Plc,HMSO LN,266239,€79260.00,0.08%
98,Apartment Investment And Management Co,AIV US,13943,€55891.00,0.05%
99,Other/Cash,,0,€419437.00,0.40%
