Number,Holding,Ticker,Shares,Market Value,% of net assets
1,Tencent Holdings Ltd,700 HK,1097540,$100076193.00,8.60%
2,Nvidia Corp,NVDA US,160131,$90582904.00,7.78%
3,Sea Ltd,SE US,332026,$83607467.00,7.18%
4,Bilibili Inc,BILI US,637680,$82426517.00,7.08%
5,Nintendo Co Ltd,7974 JP,109770,$71042697.00,6.10%
6,Netease Inc,NTES US,581569,$69933672.00,6.01%
7,Advanced Micro Devices Inc,AMD US,806764,$68365181.00,5.87%
8,Activision Blizzard Inc,ATVI US,689537,$66485158.00,5.71%
9,Nexon Co Ltd,3659 JP,1637405,$54364681.00,4.67%
10,Electronic Arts Inc,EA US,349845,$49387619.00,4.24%
11,Ncsoft Corp,036570 KS,57489,$48190032.00,4.14%
12,Take-Two Interactive Software Inc,TTWO US,253642,$47164730.00,4.05%
13,Zynga Inc,ZNGA US,4112660,$46884324.00,4.03%
14,Bandai Namco Holdings Inc,7832 JP,516402,$42956943.00,3.69%
15,Unity Software Inc,U US,306506,$33902629.00,2.91%
16,Ubisoft Entertainment Sa,UBI FP,317520,$26864042.00,2.31%
17,Konami Holdings Corp,9766 JP,369208,$26202651.00,2.25%
18,Cd Projekt Sa,CDR PW,335694,$23351287.00,2.01%
19,Embracer Group Ab,EMBRACB SS,821888,$23347260.00,2.01%
20,Kingsoft Corp Ltd,3888 HK,2681059,$22855927.00,1.96%
21,Micro-Star International Co Ltd,2377 TT,3784001,$21912837.00,1.88%
22,Capcom Co Ltd,9697 JP,316208,$20155007.00,1.73%
23,Square Enix Holdings Co Ltd,9684 JP,280205,$17353704.00,1.49%
24,Netmarble Corp,251270 KS,122700,$13864719.00,1.19%
25,Stillfront Group Ab,SF SS,1056675,$12491077.00,1.07%
26,Other/Cash,,0,$6677.00,0.00%
